CaseID,Feature__GLRLM_ShortRunsEmphasis(IBSI:22OV),Feature__GLRLM_LongRunsEmphasis(IBSI:W4KF),Feature__GLRLM_LowGreyLevelRunEmphasis(IBSI:V3SW),Feature__GLRLM_HighGreyLevelRunEmphasis(IBSI:G3QZ),Feature__GLRLM_ShortRunLowGreyLevelEmphasis(IBSI:HTZT),Feature__GLRLM_ShortRunHighGreyLevelEmphasis(IBSI:GD3A),Feature__GLRLM_LongRunLowGreyLevelEmphasis(IBSI:IVPO),Feature__GLRLM_LongRunHighGreyLevelEmphasis(IBSI:3KUM),Feature__GLRLM_GreyLevelNonUniformity(IBSI:R5YN),Feature__GLRLM_RunLengthNonUniformity(IBSI:W92Y),Feature__GLRLM_RunPercentage(IBSI:9ZK5)
1,0.763432652,5.336652028,0.002617936,925.2645375,0.001975178,743.7269868,0.014830723,3726.278392,610.1792554,12155.54727,0.625667518
2,0.80537816,4.06304963,0.008328127,934.9832711,0.003970142,781.2215348,0.166597505,2920.228285,159.5915074,4455.36937,0.682261905
3,0.786524425,4.459662432,0.002158854,1021.28643,0.001693159,811.2297825,0.009632133,4315.446212,618.2181406,12990.8386,0.666790675
4,0.788351242,4.4002062,0.002155209,1015.167211,0.001691042,807.9916684,0.009541292,4220.410023,631.7902571,13200.17348,0.669596715
5,0.782793214,4.5238275,0.003148257,1332.764009,0.002331332,1074.495477,0.015787784,5211.663308,184.1421681,5657.311544,0.67260101
6,0.708538556,125.6724601,0.010389544,1314.761567,0.001936259,972.070531,118.1525375,8883.119671,1153.520585,30790.68802,0.427243917
7,0.727157929,7.864676153,0.002026017,1362.904371,0.001225895,1045.000248,0.031368166,8124.95207,763.6638497,19710.95438,0.569264069
8,0.759681869,5.325290899,0.002360049,1004.201877,0.001644132,795.2728226,0.013541034,4480.502047,584.8690262,11112.83579,0.627578468
9,0.71448148,8.420196123,0.005525557,1252.740351,0.00205103,959.0364548,0.199467916,6654.692575,1040.610979,26121.39623,0.55230835
10,0.736418274,6.001828566,0.002655238,1329.864363,0.001663499,996.9185437,0.02143778,6997.443547,344.6372097,9060.409773,0.597423146
11,0.782002481,5.676401785,0.003747265,1021.739049,0.002635892,836.2781993,0.031497458,4174.525221,270.8574542,7324.677292,0.640151515
12,0.793539544,244.0676891,0.037767147,874.6000946,0.006385419,713.7610453,240.1949107,3879.506056,399.7996027,10754.78816,0.303636022
13,0.809554413,229.7949246,0.024726591,1057.895273,0.004079966,888.4953117,225.8868344,4024.501173,374.397501,12402.22389,0.339386875
14,0.779086425,260.8120217,0.031212294,880.7922457,0.005894535,719.8692031,255.9338248,4003.061998,401.9956416,11162.70814,0.312927798
15,0.777704767,42.70411937,0.015649195,1245.09158,0.002873488,1005.575532,37.58556674,4985.234445,396.2469983,12788.54927,0.503257611
16,0.7705978,4.255369775,0.001385555,1187.586167,0.001067774,934.2087403,0.006119095,4551.234545,718.7801123,13627.30908,0.656243931
17,0.696843191,30.43763428,0.009642893,1443.497291,0.001710429,1075.480163,21.97353611,9693.304203,591.9759473,16009.88767,0.474759391
18,0.693999088,8.523049132,0.005026636,1113.039822,0.002361154,806.0678671,0.148806524,8200.511993,757.5850752,18761.86209,0.557276248
19,0.698890402,36.14548722,0.011796924,1393.850704,0.002132071,1022.115688,27.46941881,10625.89267,861.9211033,23496.70487,0.483012239
20,0.766054491,4.549952291,0.002076067,1036.025349,0.001596632,815.5752589,0.008962838,4181.937403,528.05298,10425.39671,0.644085138
21,0.776490846,5.554033447,0.007528592,1144.325563,0.003222723,916.1315046,0.252131439,5436.591981,338.4073518,9376.138732,0.638245663
22,0.752481064,6.572569642,0.008991461,969.7942876,0.003685815,784.9105015,0.298022733,3714.165583,150.2300154,3858.5674,0.592202029
23,0.699429046,7.747499911,0.004412351,770.1773259,0.00193812,553.3924356,0.286812036,5353.981414,3409.22482,51142.61941,0.565890119
24,0.753234299,5.34972524,0.006238556,741.8339133,0.002873371,570.7283365,0.406833572,3503.812725,3501.678795,61983.711,0.626381874
25,0.676412361,14.34342465,0.006554097,615.2039089,0.002304904,436.1737577,5.504135128,5004.679881,2757.309382,38970.12965,0.522181642
26,0.771537103,7.437848334,0.005391516,818.5491223,0.002160856,645.3002751,2.438651678,3664.279706,2772.521444,55810.95441,0.62952597
27,0.683596002,9.022118695,0.002423047,1021.622796,0.001237859,700.7414495,0.085745088,9480.980244,3979.015951,59819.92728,0.546821423
28,0.670752331,9.669343513,0.002307595,999.6225568,0.001223137,667.5665949,0.131456211,10107.92668,4316.346157,65310.6992,0.545110761
29,0.774075407,4.984457274,0.00248337,958.6619568,0.001906407,770.527957,0.012395309,4004.890266,455.9046942,9594.068373,0.643808902
30,0.801753798,3.887038664,0.00282656,870.3884476,0.002099867,704.5620008,0.011820264,3296.406134,372.3354224,7896.149256,0.689505129
31,0.790819087,5.087573467,0.003452954,766.2192272,0.002513452,629.3149156,0.02235557,2867.926315,381.0144808,8197.393135,0.655861021
32,0.756011926,5.021506041,0.007537796,747.9296458,0.003348685,584.967802,0.155583109,3287.407848,488.8066519,10062.192,0.618012632
33,0.790136628,4.77181114,0.010855187,791.8541647,0.004924865,656.2903405,0.190262,2683.944812,226.6960258,5479.718293,0.647738481
34,0.793889399,5.775570875,0.01100222,993.2784368,0.002792914,811.0234842,2.146163754,3435.88334,115.5356362,3094.736114,0.642129746
35,0.843673253,2.913475124,0.00248099,1213.577815,0.001959559,1026.520304,0.010303336,3416.506358,105.0748935,3210.641669,0.744041982
36,0.813411556,3.317556616,0.005082959,977.2936245,0.003603215,795.2654632,0.031484181,3151.408361,119.7457026,3135.923094,0.710467303
37,0.867157049,31.30443748,0.025739007,1044.343572,0.003542405,927.6419782,28.84257846,2576.148728,81.56743051,2377.006327,0.512258717
38,0.847637909,23.78110602,0.036267843,925.0403315,0.007187199,827.613002,21.27872917,2056.923348,69.64571477,2220.134114,0.540276373
39,0.835041565,3.241270259,0.003779091,1158.370462,0.00263589,978.4760435,0.017206384,3445.879964,127.0283545,3915.241963,0.733976809
40,0.83516838,3.202629652,0.008112515,982.1472362,0.003034475,837.2442902,0.195001348,2874.950837,96.36900757,2913.260736,0.725020713
41,0.758284243,5.892591543,0.012566259,851.1378996,0.00423813,678.7680633,0.505518015,3545.087891,490.1205608,11471.21391,0.609915858
42,0.799846891,6.045066076,0.009659765,952.6964378,0.002793704,795.3164453,1.454820251,3792.611714,263.9038967,7806.398187,0.658135951
43,0.764127295,28.655797,0.016866235,1068.29868,0.002915744,828.9751543,24.3890515,4737.038638,206.8050471,4730.575467,0.510268077
44,0.766411047,5.046956142,0.004133288,916.3983333,0.002821148,726.2064763,0.027454148,4071.362355,367.9768278,9130.767612,0.654067797
45,0.692613191,8.571921947,0.004046186,704.5105418,0.002033375,513.822148,0.118405562,4921.723629,1605.033938,25053.14957,0.560903311
